DK,name
Kelly Oubre Jr.,Kelly Oubre
Jaren Jackson Jr.,Jaren Jackson
Moe Harkless,Maurice Harkless
DeAndre' Bembry,DeAndre Bembry
Jacob Evans III,Jacob Evans
JJ Redick,J.J. Redick
Troy Brown,Troy Brown Jr.
CJ McCollum,C.J. McCollum
Shaquille Harrison,Shaq Harrison
Wendell Carter Jr.,Wendell Carter
T.J. Warren,TJ Warren
Robert Williams,Robert Williams III
Derrick Walton Jr.,Derrick Walton
Jacob Evans III,Jacob Evans
Harry Giles,Hary Giles III
